x,y,c
0,30,15,-1
10,34,18,-1
21,2,24,-1
13,10,20,-1
20,6,14,-1
30,21,27,-1
18,31,27,-1
29,33,5,-1
10,7,24,-1
3,5,16,-1
30,22,26,-1
25,32,4,-1
7,34,7,-1
11,11,33,-1
32,11,3,-1
26,5,4,-1
17,23,15,-1
8,16,13,-1
29,6,20,-1
17,25,5,-1
14,19,27,-1
20,9,4,-1
5,32,2,-1
12,8,29,-1
25,4,4,-1
28,10,9,-1
13,27,32,-1
28,15,28,-1
21,8,34,-1
5,5,23,-1
27,35,7,-1
18,20,32,-1
2,25,8,-1
4,17,16,-1
33,6,0,-1
17,14,10,-1
26,27,17,-1
2,0,32,-1
10,1,20,-1
8,23,26,-1
12,14,25,-1
35,12,25,-1
31,15,14,-1
19,35,11,-1
16,13,17,-1
32,30,12,-1
23,1,19,-1
4,19,35,-1
1,30,1,-1
1,2,24,-1
27,30,18,-1
33,29,30,-1
22,4,25,-1
17,24,25,-1
8,4,18,-1
26,0,28,-1
18,23,29,-1
1,8,13,-1
1,25,23,-1
18,26,5,-1
6,34,0,-1
24,31,29,-1
34,33,34,-1
24,30,2,-1
29,3,6,-1
11,9,22,-1
19,27,26,-1
13,28,34,-1
6,9,23,-1
9,27,13,-1
14,13,27,-1
14,1,22,-1
24,16,0,-1
2,4,30,-1
4,33,33,-1
26,24,22,-1
28,7,13,-1
18,0,22,-1
32,22,31,-1
19,31,23,-1
13,10,0,-1
4,4,18,-1
7,28,34,-1
7,30,18,-1
17,14,31,-1
31,4,35,-1
17,33,6,-1
31,31,23,-1
17,28,25,-1
12,27,21,-1
15,4,11,-1
32,25,15,-1
30,12,24,-1
8,19,34,-1
26,0,13,-1
21,31,33,-1
0,13,10,-1
6,24,6,-1
9,5,14,-1
35,33,5,-1
0,29,26,-1
11,25,15,-1
6,35,27,-1
10,7,26,-1
9,33,6,-1
2,34,18,-1
35,34,11,-1
26,20,35,-1
32,10,20,-1
10,9,17,-1
31,9,26,-1
21,0,15,-1
16,22,14,-1
23,33,1,-1
13,22,34,-1
0,24,12,-1
18,3,26,-1
9,29,27,-1
8,5,1,-1
8,31,26,-1
5,27,15,-1
32,28,15,-1
11,9,17,-1
6,32,14,-1
7,26,16,-1
22,26,4,-1
14,24,24,-1
5,33,33,-1
32,21,19,-1
13,29,14,-1
3,34,21,-1
18,30,14,-1
13,22,23,-1
30,8,35,-1
25,31,5,-1
5,17,11,-1
26,12,35,-1
14,17,12,-1
27,29,33,-1
10,6,6,-1
5,25,5,-1
6,7,15,-1
20,0,17,-1
23,30,25,-1
3,35,21,-1
8,5,18,-1
20,31,30,-1
19,25,27,-1
12,32,20,-1
9,7,6,-1
16,28,11,-1
1,34,34,-1
32,35,34,-1
14,22,9,-1
3,25,8,-1
4,34,13,-1
23,34,24,-1
17,33,13,-1
9,9,10,-1
9,19,33,-1
32,15,5,-1
7,32,3,-1
6,28,18,-1
4,6,5,-1
13,26,10,-1
22,30,24,-1
15,17,22,-1
4,15,20,-1
33,4,29,-1
23,13,28,-1
20,9,23,-1
5,17,19,-1
25,23,28,-1
7,7,34,-1
12,1,4,-1
3,23,35,-1
27,18,32,-1
14,22,27,-1
14,0,31,-1
23,23,25,-1
16,24,34,-1
3,29,31,-1
3,18,34,-1
31,26,6,-1
9,18,7,-1
14,21,10,-1
29,13,28,-1
5,7,31,-1
33,1,31,-1
8,24,34,-1
33,4,22,-1
12,24,32,-1
7,7,14,-1
22,18,20,-1
28,27,3,-1
15,21,4,-1
5,30,17,-1
13,16,4,-1
8,29,5,-1
19,1,10,-1
34,15,14,-1
20,27,18,-1
16,34,25,-1
11,20,23,-1
31,28,15,-1
14,23,16,-1
19,28,27,-1
16,22,7,-1
1,10,0,-1
22,10,17,-1
32,8,32,-1
11,28,23,-1
9,25,2,-1
15,16,2,-1
2,27,31,-1
33,6,34,-1
14,5,7,-1
5,1,29,-1
28,2,3,-1
28,25,13,-1
9,21,1,-1
