x,y,c
47,123,0
39,54,1
26,60,2
134,26,3
58,1,4
93,85,0
18,52,2
44,83,2
110,112,0
87,29,4
89,145,0
95,82,1
32,51,1
116,22,3
117,41,3
35,11,4
14,72,2
63,38,1
132,47,3
62,39,1
46,4,4
122,64,3
54,14,4
146,13,3
124,82,3
41,62,1
75,136,0
145,107,3
34,108,0
129,149,0
149,13,3
10,12,4
84,71,1
48,65,1
116,110,0
103,10,3
112,74,3
74,16,4
86,67,1
27,60,2
148,66,3
122,72,3
51,114,0
26,86,2
71,4,4
84,70,1
15,92,2
80,99,0
11,129,0
12,127,0
86,113,0
137,48,3
34,59,1
62,121,0
124,87,3
30,119,0
3,150,0
38,52,1
114,64,3
136,34,3
66,68,1
102,82,3
9,32,2
28,18,4
8,38,2
144,92,3
0,128,0
138,35,3
34,49,1
3,8,4
135,33,3
125,138,0
30,13,4
39,144,0
77,25,4
26,144,0
91,126,0
73,98,0
5,99,2
117,13,3
138,110,3
104,136,0
87,91,0
20,120,0
141,21,3
128,123,0
52,102,0
110,83,3
113,147,0
76,40,1
19,100,0
31,110,0
76,102,0
58,81,1
50,24,4
93,37,3
132,46,3
21,66,2
137,41,3
35,125,0
63,10,4
97,115,0
111,54,3
45,73,1
51,120,0
111,68,3
69,140,0
28,143,0
91,84,0
72,142,0
106,14,3
26,87,2
58,47,1
0,42,2
87,34,4
17,148,0
42,112,0
110,0,3
14,5,4
74,63,1
125,32,3
131,41,3
22,6,4
34,111,0
90,106,0
102,45,3
118,127,0
130,25,3
23,129,0
67,108,0
12,82,2
105,52,3
42,63,1
53,56,1
68,125,0
117,40,3
6,97,2
81,26,4
104,113,0
138,41,3
68,87,0
87,33,4
63,64,1
58,87,0
42,124,0
42,52,1
53,148,0
105,95,0
60,5,4
149,126,3
130,115,0
15,136,0
60,94,0
10,11,4
57,148,0
52,123,0
84,137,0
4,148,0
51,60,1
82,91,0
33,124,0
142,85,3
119,94,3
27,26,1
99,26,3
1,78,2
139,14,3
61,46,1
