x,y,c
15,39,0
15,81,2
16,6,4
16,77,2
17,40,0
17,76,2
18,6,4
18,94,2
19,3,4
19,72,2
19,14,0
19,99,2
20,15,0
20,77,2
20,13,0
20,79,2
21,35,0
21,66,2
23,29,0
23,98,2
24,35,0
24,73,2
25,5,4
25,73,2
28,14,3
28,82,2
28,32,0
28,61,2
29,31,0
29,87,2
30,4,3
30,73,2
33,4,3
33,92,2
33,14,3
33,81,2
34,17,3
34,73,2
37,26,0
37,75,2
38,35,0
38,92,2
39,36,2
39,61,2
39,28,0
39,65,2
40,55,2
40,47,2
40,42,2
40,42,2
42,52,2
42,60,2
43,54,2
43,60,2
43,45,2
43,41,2
44,50,2
44,46,2
46,51,2
46,46,2
46,56,2
46,55,2
47,52,2
47,59,2
48,51,2
48,59,2
48,50,2
48,48,2
48,59,2
48,47,2
49,55,2
49,42,2
50,49,2
50,56,2
54,47,2
54,54,2
54,53,2
54,48,2
54,52,2
54,42,2
54,51,2
54,55,2
54,41,2
54,44,2
54,57,2
54,46,2
57,58,2
57,55,2
58,60,2
58,46,2
59,55,2
59,41,2
60,49,2
60,40,2
60,42,2
60,52,2
60,47,2
60,50,2
61,42,2
61,49,2
62,41,2
62,48,2
62,59,2
62,55,2
62,56,2
62,42,2
63,50,2
63,46,2
63,43,2
63,48,2
63,52,2
63,54,2
64,42,2
64,46,2
65,48,2
65,50,2
65,43,2
65,59,2
67,43,2
67,57,2
67,56,2
67,40,2
69,58,2
69,91,1
70,29,3
70,77,1
71,35,2
71,95,1
71,11,3
71,75,1
71,9,3
71,75,1
72,34,3
72,71,1
73,5,3
73,88,1
73,7,3
73,73,1
74,10,3
74,72,1
75,5,3
75,93,1
76,40,2
76,87,1
77,12,3
77,97,1
77,36,3
77,74,1
78,22,3
78,90,1
78,17,3
78,88,1
78,20,3
78,76,1
78,16,3
78,89,1
78,1,3
78,78,1
78,1,3
78,73,1
79,35,3
79,83,1
81,5,3
81,93,1
85,26,3
85,75,1
86,20,3
86,95,1
87,27,3
87,63,1
87,13,3
87,75,1
87,10,3
87,92,1
88,13,3
88,86,1
88,15,3
88,69,1
93,14,3
93,90,1
97,32,3
97,86,1
98,15,3
98,88,1
99,39,3
99,97,1
101,24,3
101,68,1
103,17,3
103,85,1
103,23,3
103,69,1
113,8,3
113,91,1
120,16,3
120,79,1
126,28,3
126,74,1
137,18,3
137,83,1
