x,y,c
15,39,-1
15,81,-1
16,6,-1
16,77,-1
17,40,-1
17,76,-1
18,6,-1
18,94,-1
19,3,-1
19,72,-1
19,14,-1
19,99,-1
20,15,-1
20,77,-1
20,13,-1
20,79,-1
21,35,-1
21,66,-1
23,29,-1
23,98,-1
24,35,-1
24,73,-1
25,5,-1
25,73,-1
28,14,-1
28,82,-1
28,32,-1
28,61,-1
29,31,-1
29,87,-1
30,4,-1
30,73,-1
33,4,-1
33,92,-1
33,14,-1
33,81,-1
34,17,-1
34,73,-1
37,26,-1
37,75,-1
38,35,-1
38,92,-1
39,36,-1
39,61,-1
39,28,-1
39,65,-1
40,55,-1
40,47,-1
40,42,-1
40,42,-1
42,52,-1
42,60,-1
43,54,-1
43,60,-1
43,45,-1
43,41,-1
44,50,-1
44,46,-1
46,51,-1
46,46,-1
46,56,-1
46,55,-1
47,52,-1
47,59,-1
48,51,-1
48,59,-1
48,50,-1
48,48,-1
48,59,-1
48,47,-1
49,55,-1
49,42,-1
50,49,-1
50,56,-1
54,47,-1
54,54,-1
54,53,-1
54,48,-1
54,52,-1
54,42,-1
54,51,-1
54,55,-1
54,41,-1
54,44,-1
54,57,-1
54,46,-1
57,58,-1
57,55,-1
58,60,-1
58,46,-1
59,55,-1
59,41,-1
60,49,-1
60,40,-1
60,42,-1
60,52,-1
60,47,-1
60,50,-1
61,42,-1
61,49,-1
62,41,-1
62,48,-1
62,59,-1
62,55,-1
62,56,-1
62,42,-1
63,50,-1
63,46,-1
63,43,-1
63,48,-1
63,52,-1
63,54,-1
64,42,-1
64,46,-1
65,48,-1
65,50,-1
65,43,-1
65,59,-1
67,43,-1
67,57,-1
67,56,-1
67,40,-1
69,58,-1
69,91,-1
70,29,-1
70,77,-1
71,35,-1
71,95,-1
71,11,-1
71,75,-1
71,9,-1
71,75,-1
72,34,-1
72,71,-1
73,5,-1
73,88,-1
73,7,-1
73,73,-1
74,10,-1
74,72,-1
75,5,-1
75,93,-1
76,40,-1
76,87,-1
77,12,-1
77,97,-1
77,36,-1
77,74,-1
78,22,-1
78,90,-1
78,17,-1
78,88,-1
78,20,-1
78,76,-1
78,16,-1
78,89,-1
78,1,-1
78,78,-1
78,1,-1
78,73,-1
79,35,-1
79,83,-1
81,5,-1
81,93,-1
85,26,-1
85,75,-1
86,20,-1
86,95,-1
87,27,-1
87,63,-1
87,13,-1
87,75,-1
87,10,-1
87,92,-1
88,13,-1
88,86,-1
88,15,-1
88,69,-1
93,14,-1
93,90,-1
97,32,-1
97,86,-1
98,15,-1
98,88,-1
99,39,-1
99,97,-1
101,24,-1
101,68,-1
103,17,-1
103,85,-1
103,23,-1
103,69,-1
113,8,-1
113,91,-1
120,16,-1
120,79,-1
126,28,-1
126,74,-1
137,18,-1
137,83,-1
